Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime
EA11;<437, 5, 200>;False;-10;85;0;8250
EA12;<437, 5, 200>;False;-10;85;0;8250
EA13;<437, 5, 200>;False;-10;86;0;8250
EA14;<437, 5, 200>;False;-10;86;0;8250
EA15;<437, 5, 200>;False;-5;31;15;8250
EA16;<437, 5, 200>;False;-9;57;20;8250
EA17;<437, 5, 200>;False;-7;16;40;8250
EA18;<437, 5, 200>;False;-5;31;15;8250
EA19;<437, 5, 200>;False;-10;86;0;8250
EA20;<437, 5, 200>;False;-2;1;15;8250
EA21;<437, 5, 200>;False;-10;85;0;8250
EA22;<437, 5, 200>;False;-10;85;0;8250
EA23;<437, 5, 200>;False;-8;71;0;8250
EA24;<437, 5, 200>;False;-10;85;0;8250
EA25;<437, 5, 200>;False;-6;36;15;8250
EA26;<437, 5, 200>;False;-8;16;55;8250
EA27;<437, 5, 200>;False;-9;59;20;8250
EA28;<437, 5, 200>;False;-9;54;20;8250
EA29;<437, 5, 200>;False;-10;86;0;8250
EA30;<437, 5, 200>;False;-11;68;20;8250
EA31;<437, 5, 200>;False;-3;12;15;8250
EA32;<437, 5, 200>;False;-10;86;0;8250
EA33;<437, 5, 200>;False;-6;32;20;8250
EA34;<437, 5, 200>;False;-10;87;0;8250
EA35;<437, 5, 200>;False;-10;85;0;8250
EA36;<437, 5, 200>;False;-9;72;0;8250
EA37;<437, 5, 200>;False;-10;87;0;8250
EA38;<437, 5, 200>;False;-6;37;15;8250
EA39;<437, 5, 200>;False;-10;85;0;8250
EA40;<437, 5, 200>;False;-8;9;55;8250
EA41;<437, 5, 200>;False;-10;85;0;8250
EA42;<437, 5, 200>;False;-8;51;20;8250
EA43;<437, 5, 200>;False;-10;86;0;8250
EA44;<437, 5, 200>;False;-6;33;20;8250
EA45;<437, 5, 200>;False;-6;35;20;8250
EA46;<437, 5, 200>;False;-10;85;0;8250
EA47;<437, 5, 200>;False;-7;1;55;8250
EA48;<437, 5, 200>;False;-10;86;0;8250
EA49;<437, 5, 200>;False;-7;8;55;8250
EA50;<437, 5, 200>;False;-10;85;0;8250
EA51;<437, 5, 200>;False;-10;86;0;8250
EA52;<437, 5, 200>;False;-10;85;0;8250
EA53;<437, 5, 200>;False;-10;86;0;8250
EA54;<437, 5, 200>;False;-10;86;0;8250
EA55;<437, 5, 200>;False;-9;59;20;8250
EA56;<437, 5, 200>;False;-6;36;15;8250
EA57;<437, 5, 200>;False;-9;72;0;8250
EA58;<437, 5, 200>;False;-10;86;0;8250
EA59;<437, 5, 200>;False;-9;74;0;8250
EA60;<437, 5, 200>;False;-2;1;15;8250
EA61;<437, 5, 200>;False;-5;27;15;8250
EA62;<437, 5, 200>;False;-6;33;20;8250
EA63;<437, 5, 200>;False;-6;37;15;8250
EA64;<437, 5, 200>;False;-10;86;0;8250
EA65;<437, 5, 200>;False;-8;46;20;8250
EA66;<437, 5, 200>;False;-10;85;0;8250
EA67;<437, 5, 200>;False;-8;17;50;8250
EA68;<437, 5, 200>;False;-6;33;20;8250
EA69;<437, 5, 200>;False;-10;85;0;8250
EA70;<437, 5, 200>;False;-6;0;55;8250
EA71;<437, 5, 200>;False;-10;85;0;8250
EA72;<437, 5, 200>;False;-6;38;15;8250
EA73;<437, 5, 200>;False;-3;15;15;8250
EA74;<437, 5, 200>;False;-9;55;20;8250
EA75;<437, 5, 200>;False;-6;36;15;8250
EA76;<437, 5, 200>;False;-10;85;0;8250
EA77;<437, 5, 200>;False;-8;29;35;8250
EA78;<437, 5, 200>;False;-4;19;15;8250
EA79;<437, 5, 200>;False;-6;36;15;8250
EA80;<437, 5, 200>;False;-10;85;0;8250
EA81;<437, 5, 200>;False;-7;43;20;8250
EA82;<437, 5, 200>;False;-8;49;20;8250
EA83;<437, 5, 200>;False;-9;73;0;8250
EA84;<437, 5, 200>;True;455;81;385;11550
EA85;<437, 5, 200>;False;-10;86;0;8250
EA86;<437, 5, 200>;False;-10;87;0;8250
EA87;<437, 5, 200>;False;-10;86;0;8250
EA88;<437, 5, 200>;False;-10;86;0;8250
EA89;<437, 5, 200>;False;-2;0;20;8250
EA90;<437, 5, 200>;False;-8;71;0;8250
EA91;<437, 5, 200>;True;475;76;410;11550
EA92;<437, 5, 200>;False;-10;85;0;8250
EA93;<437, 5, 200>;False;-10;87;0;8250
EA94;<437, 5, 200>;False;-6;35;20;8250
EA95;<437, 5, 200>;False;-16;14;170;11550
