Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
EA41;<3468, 5, 958>;False;1;830;0;0;1;50;3267;21;2245;44;45;1309;69;3386;25;67;1477;50;2641;61;93;51;43;85;1429
EA35;<3468, 5, 958>;False;1;767;0;0;1;50;711;91;3194;32;48;450;29;2914;60;52;2630;66;3602;11;16;36;11;55;3202
EA24;<3468, 5, 958>;False;1;841;0;0;1;50;1294;77;3982;80;29;3202;75;668;43;19;3279;75;1166;84;47;71;82;33;1216
EA28;<3468, 5, 958>;False;1;729;0;0;1;50;410;10;3996;32;61;3356;57;3657;33;55;133;81;2329;57;54;45;13;96;2626
EA6;<3468, 5, 958>;False;21;862;40;-20;1;50;817;16;2649;78;13;3301;63;3727;14;61;2597;90;1788;92;42;53;2;75;806
EA2;<3468, 5, 958>;False;1;718;0;0;1;50;3155;54;173;11;24;1391;66;2006;15;68;3814;49;3493;18;90;88;45;18;1447
EA15;<3468, 5, 958>;False;1;655;0;0;1;50;2382;49;202;98;65;1513;49;235;67;31;2073;69;3773;72;93;50;72;22;3600
EA196;<3468, 5, 958>;False;101;736;140;-40;1;50;2978;96;743;37;71;3625;37;895;71;95;358;82;3401;34;97;97;77;1;1429
EA197;<3468, 5, 958>;True;182;382;200;-30;12;7.79;3645;93;1435;92;88;3509;5;3627;10;48;3853;62;1435;71;60;3;43;80;663
EA193;<3468, 5, 958>;False;1;638;0;0;1;50;2951;88;2916;79;44;2413;13;3752;53;75;3127;96;2898;31;37;43;94;62;966
EA191;<3468, 5, 958>;False;1;674;0;0;1;50;2596;61;1010;27;40;1307;70;528;17;51;2538;30;1492;78;32;55;71;59;917
EA176;<3468, 5, 958>;True;141;509;140;-10;11;8.27;3666;8;3722;63;86;3826;25;110;41;20;2245;13;2841;71;30;30;3;81;1011
EA169;<3468, 5, 958>;False;1;631;0;0;1;50;1440;58;1776;9;87;469;53;2384;26;79;969;36;3991;73;70;92;37;41;3395
EA161;<3468, 5, 958>;False;1;658;0;0;1;50;3559;88;1238;20;50;845;40;3297;17;33;1402;81;960;14;62;63;82;19;1447
EA123;<3468, 5, 958>;False;1;664;0;0;1;50;341;16;684;55;75;3209;39;1627;47;34;1518;50;2489;42;44;20;64;62;2636
EA119;<3468, 5, 958>;False;1;736;0;0;1;50;2933;90;1028;78;62;1668;39;3953;64;33;3577;90;2885;51;84;3;78;29;3275
EA121;<3468, 5, 958>;False;1;672;0;0;1;50;3257;62;3561;75;47;3305;75;480;90;30;726;98;3445;96;75;66;57;78;2433
EA118;<3468, 5, 958>;False;1;648;0;0;1;50;621;8;1733;66;68;3796;39;556;49;5;1199;18;106;41;26;3;25;41;3424
EA113;<3468, 5, 958>;False;1;788;0;0;1;50;3283;29;1036;81;73;1023;35;2315;68;65;3620;58;2224;89;84;66;47;56;1716
EA92;<3468, 5, 958>;False;1;659;0;0;1;50;2403;73;463;62;41;1051;87;3362;43;40;1920;31;1856;74;95;13;6;8;2972
EA78;<3468, 5, 958>;False;1;780;0;0;1;50;1247;58;1064;35;37;327;39;1998;29;34;1492;77;3490;15;51;49;67;42;2205
EA63;<3468, 5, 958>;False;1;708;0;0;1;50;2746;53;2843;18;20;544;47;3241;54;62;2733;27;1960;21;79;23;59;15;1935
EA48;<3468, 5, 958>;False;1;652;0;0;1;50;3750;95;1583;26;44;888;91;3446;45;30;661;84;3494;70;63;3;45;31;1302
EA16;<3468, 5, 958>;False;91;806;140;-50;1;50;3043;71;3875;12;56;2353;37;3777;23;95;2684;22;3199;50;67;75;77;40;505
EA9;<3468, 5, 958>;False;1;703;0;0;1;50;2511;94;1621;45;18;295;21;1897;86;35;1056;95;3393;75;62;95;39;53;3936
EA190;<3468, 5, 958>;False;1;678;0;0;1;50;3012;97;495;45;46;1617;50;408;74;55;3960;52;365;30;43;38;62;25;1922
EA186;<3468, 5, 958>;False;1;759;0;0;1;50;2734;26;960;9;73;1987;18;1164;97;21;1428;71;865;76;49;63;25;30;3632
EA183;<3468, 5, 958>;False;1;623;0;0;1;50;2203;86;3409;76;31;1090;77;1231;75;17;2640;65;3645;38;86;36;6;88;515
EA167;<3468, 5, 958>;False;171;900;240;-70;1;50;1745;22;3514;29;80;2677;24;2070;29;84;1657;39;2394;12;84;18;25;43;154
EA171;<3468, 5, 958>;False;1;747;0;0;1;50;3309;17;3493;98;67;1772;48;3573;6;65;1242;45;1971;17;66;84;40;25;3553
EA162;<3468, 5, 958>;False;1;814;0;0;1;50;1399;40;2983;20;90;3783;30;1581;86;29;3071;50;1474;92;43;15;47;63;2265
EA95;<3468, 5, 958>;False;1;625;0;0;1;50;328;81;1294;94;62;3356;76;1412;89;29;2543;16;2228;19;80;4;1;31;3027
EA81;<3468, 5, 958>;False;31;707;40;-10;1;50;615;65;2832;86;76;2855;48;1953;12;29;2343;12;2962;82;97;33;23;91;971
EA79;<3468, 5, 958>;False;1;645;0;0;1;50;3193;84;938;33;15;225;76;1044;42;79;2931;82;2360;96;32;67;63;63;3689
EA75;<3468, 5, 958>;False;21;654;40;-20;1;50;1065;22;2506;27;49;3291;52;764;45;80;1187;5;438;89;88;35;74;0;2859
EA58;<3468, 5, 958>;False;1;789;0;0;1;50;1826;50;284;50;41;3676;19;1702;50;23;1549;42;2914;33;13;66;39;20;2373
EA23;<3468, 5, 958>;False;1;673;0;0;1;50;2884;65;1113;45;70;2112;80;3257;89;80;3393;25;2546;57;57;32;77;20;691
EA13;<3468, 5, 958>;False;1;726;0;0;1;50;3027;37;2619;32;64;3085;89;512;96;89;3985;66;3771;92;55;54;33;25;1870
EA154;<3468, 5, 958>;False;1;645;0;0;1;50;2173;11;252;66;64;2886;73;1759;67;74;3812;48;3346;50;28;56;14;9;2785
EA93;<3468, 5, 958>;False;111;745;120;-10;1;50;2662;8;2848;48;8;2450;43;457;12;5;3703;67;3399;86;83;79;8;19;1897
EA87;<3468, 5, 958>;False;1;780;0;0;1;50;1039;64;1551;18;44;2729;58;3726;74;45;1919;44;2871;36;16;0;59;62;3215
EA77;<3468, 5, 958>;False;1;639;0;0;1;50;1130;87;2698;55;24;411;19;755;72;68;2082;8;2329;39;22;4;10;37;531
EA71;<3468, 5, 958>;False;1;715;0;0;1;50;2240;48;1218;14;47;1196;36;272;52;54;3015;6;1416;67;62;70;43;92;1935
EA60;<3468, 5, 958>;False;1;621;0;0;1;50;2595;13;1949;26;69;3481;88;428;98;54;1988;62;132;55;94;7;75;83;2286
EA53;<3468, 5, 958>;False;1;684;0;0;1;50;589;70;3648;23;10;1178;76;410;45;60;1108;53;555;65;31;14;97;67;1308
EA50;<3468, 5, 958>;False;1;657;0;0;1;50;3341;85;1389;40;95;3413;38;3906;98;57;2570;30;652;63;36;77;72;48;3932
EA30;<3468, 5, 958>;False;1;710;0;0;1;50;3232;70;1304;23;88;536;67;2098;62;80;2760;31;2634;62;93;66;54;85;3175
